Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Plagl1,[0.56225328 4.50319594 6.76145532],[0.56225328 0.30441805 1.00010242],[1.50147926 0.75057621 3.42196558],0.75
Plat,[0.01979784 0.82834023 2.30964483],[6.9388939e-18           nan           nan],[2.78828041        nan        nan],0.05
Plbd1,[0.04500605 2.17069629 3.14720804],[0.0022503       nan       nan],[1.44986106        nan        nan],0.06
Plcb3,[ 0.56094202  5.15186006 12.25841655],[0.56094202 0.36623939 0.88227771],[2.37941567 1.34487707 4.25060249],1.2
Plcd3,[0.21732651 3.4988797  5.7655374 ],[0.21732651 0.08060826 0.41171935],[1.64782385 0.78474239 5.21937827],0.34
Plce1,[0.33652618 1.97998758 3.96765185],[0.33652618 0.12510716 0.67058752],[2.00387714 0.85735648 6.75977449],0.58
Plcg1,[ 0.16138534 26.18463196 33.78728885],[0.16138534 0.09513155 0.28960898],[1.29034805 0.66485134 2.53495979],0.21
Pld1,[0.07109329 0.94481992 1.55398871],[0.00355466        nan        nan],[1.64474592        nan        nan],0.11
Pld3,[ 1.00701788 32.26713265 34.46152145],[1.00701788 0.53814601 1.51171686],[1.06800694 0.67102388 2.69422227],1.04
Pld6,[0.01405811 0.08113412 1.        ],[3.46944695e-18            nan            nan],[12.32527136         nan         nan],0.15
Plek2,[  0.18574738  78.85928896 131.00959735],[0.18574738 0.12825885 0.28965167],[1.61146913 0.95184041 2.84746427],0.31
Plekha4,[ 0.16624125  3.61527299 12.76602539],[0.16624125 0.10563491 0.25805929],[3.53113732 2.05539577 6.18890176],0.56
Plekhb1,[ 0.18095753 64.68748178 72.47722114],[0.18095753 0.10986542 0.32568406],[1.12042113 0.58015943 2.1632415 ],0.2
Plekhb2,[0.12557927 0.41174914 5.94953043],[0.12557927 0.07488915 0.1992216 ],[14.44940587  8.2038871  26.41612285],1.39
Plekhh3,[0.02049418 0.44810798 1.        ],[6.9388939e-18           nan           nan],[2.23160499        nan        nan],0.04
Plekhj1,[ 0.31472142  0.98644091 16.52985456],[0.31472142 0.22816777 0.42762188],[16.75706508 11.19103509 25.39250919],4.0
Plekhm2,[0.15662759 4.87649738 9.67802045],[0.15662759 0.07084525 0.27210625],[1.98462538 1.02384114 4.94139578],0.3
Plin3,[ 1.80605106 23.15883321 38.79534881],[1.89635361 1.17113218 2.57353457],[1.57467466 1.11691106 3.38852816],2.81
Plk1,[ 0.86663826  2.51478933 15.26848576],[0.86663826 0.65371603 1.17150941],[6.07147708 3.8195042  9.2173684 ],3.91
Plk2,[1.46126619e-01 7.35136620e+01 2.64688864e+02],[0.14612662 0.11227943 0.21227546],[3.60053977 2.37070558 5.86428936],0.53
Plk4,[0.18925725 0.47093592 4.6116349 ],[0.18925725 0.10581946 0.30198493],[ 9.79248915  5.44813333 19.61847026],1.32
Plod1,[0.51456257 6.19223588 9.85217807],[0.51456257 0.29084485 0.84516105],[1.59105342 0.86918046 3.40253945],0.76
Plod2,[ 0.34108454  0.70659886 12.50488742],[0.34108454 0.25043057 0.46081072],[17.69729354 11.81870843 26.53641989],4.07
Plscr3,[0.16387873 0.81078726 1.08146619],[0.00819394        nan        nan],[1.33384706        nan        nan],0.18
Pltp,[ 0.64326396  2.32167047 10.38533972],[0.64326396 0.45882492 0.93700355],[4.47321868 2.56558683 7.17520985],2.25
Plxna1,[  0.40722011  53.03403814 132.74568586],[0.42758111 0.31253543 0.57557601],[2.42793722 1.68904769 3.46871854],1.01
Plxna2,[0.05913689 0.99190282 1.        ],[0.00295684        nan        nan],[1.00816328        nan        nan],0.06
Plxnb1,[0.17249192 0.9460684  1.        ],[0.17249192 0.02650244 0.95951368],[1.05700603        nan        nan],0.15
Plxnb2,[ 0.8215496   9.45614221 15.01575129],[0.8215496  0.48769392 1.28555385],[1.58793628 0.91558327 3.35987872],1.2
Pmel,[3.11180842e-01 1.12042306e+02 3.67811866e+02],[0.31118084 0.25799291 0.40876678],[3.18431067 2.32579879 4.59351943],1.02
Pmepa1,[  0.62038722 118.7456338  157.67307839],[0.62038722 0.44312162 0.894824  ],[1.32782211 0.8847333  1.9329925 ],0.82
Pmf1,[  1.91167454 285.4282285  403.88029361],[2.10284199 1.59479116 2.70554288],[1.28764793 0.97679602 1.71428004],2.69
Pml,[0.77532973 1.16708665 5.72341711],[0.77532973 0.48943616 1.24666972],[4.90402071 2.39148979 9.66059338],2.28
Pmm1,[  3.46453027 185.44187192 657.43306551],[3.46453027 2.18263974 4.26087794],[3.54522449 2.90263642 4.3064392 ],12.06
Pmm2,[0.14904679 0.54576749 3.45120114],[0.14904679 0.04366215 0.28520587],[ 6.32357408  2.87125678 24.91102547],0.74
Pmp22,[ 0.01718399  1.56180631 13.17963781],[0.01718399 0.00772592 0.03389475],[ 8.43871464  3.07649316 24.15797881],0.14
Pmpca,[ 1.94660678  2.98111338 15.29094353],[1.94660678 1.32911552 3.05705351],[5.12927272 2.35865689 9.63996148],6.04
Pmpcb,[0.60457852 1.13267876 6.423293  ],[0.60457852 0.39098613 0.93284463],[ 5.67088676  2.98757113 10.57243574],2.24
Pms2,[ 0.40980965 31.52871565 91.92774413],[0.40980965 0.31853698 0.54177073],[2.91568312 2.1146226  4.00375559],1.18
Pmvk,[0.2212919  0.72940945 2.79138813],[0.2212919  0.0629193  0.43957093],[3.82691525        nan        nan],0.65
Pnkd,[ 0.09569192  0.1423879  12.04612347],[0.09569192 0.01466737 0.28520835],[84.60075117         nan         nan],4.84
Pnkp,[0.40546575 2.74706627 7.35436213],[0.40546575 0.25057992 0.66633123],[2.67716954 1.42550471 5.02694127],0.95
Pnma2,[  0.16145775  65.78787179 111.17166506],[0.16145775 0.10474579 0.25997353],[1.63915494 0.95696048 2.95248974],0.27
Pnn,[ 2.48483955 25.93782401 89.9152012 ],[2.48483955 1.82529429 3.28792694],[3.46656686 2.43268602 5.71496361],7.86
Pno1,[ 1.06255282  3.24109759 27.63292704],[1.06255282 0.83542599 1.36643672],[ 8.52579296  5.80595085 12.15181754],6.82
Pnp,[1.11137937 2.11695322 5.16107384],[1.11137937 0.67577228 2.09360998],[2.43797254 0.88107905 5.17116796],1.78
Pnp2,[1.01982132 2.02510502 2.18089597],[0.05099107        nan        nan],[0.14000088        nan        nan],0.73
Pnpla3,[0.11493361 0.35871812 1.32631209],[0.00574668        nan        nan],[3.69736579        nan        nan],0.32
Pnpla6,[0.64821003 1.70592362 8.72580661],[0.64821003 0.45146508 0.94339894],[5.11500428 2.93112857 8.60265797],2.4
Pnpla7,[ 0.26777092 19.65063935 24.2722067 ],[0.28115947 0.17840291 0.45173601],[1.23518661 0.68126817 2.11197192],0.33
Pnpo,[0.11196201 0.15579717 1.4756912 ],[4.16333634e-17            nan            nan],[9.47187393        nan        nan],0.62
Pnpt1,[0.4586112  1.1806715  4.39516128],[0.4586112  0.26684561 0.77033297],[3.72259454 1.81217028 7.65469585],1.23
Poc1a,[0.70034808 6.1752425  7.87633565],[0.70034808 0.31511537 1.25462157],[1.27546985 0.63013391 3.89451922],0.8
Poc5,[0.468523   1.7179902  2.95152031],[0.468523   0.09768267 1.11791156],[1.71800765        nan        nan],0.63
Podxl2,[0.00616413 0.41563909 3.72779824],[6.9388939e-18           nan           nan],[8.96883459        nan        nan],0.05
Pofut1,[0.25643884 0.29373988 1.        ],[0.01282194        nan        nan],[3.40437255        nan        nan],0.47
Pofut2,[  0.50559531  88.60467981 140.53521457],[0.53087507 0.37375765 0.73913212],[1.53850969 1.04006972 2.27001407],0.8
Pogz,[0.16736859 0.20073434 3.83669469],[0.16736859 0.05366563 0.31913555],[19.11329554  8.62036465 70.34234696],1.74
Pola2,[0.52949053 1.3969475  5.04211155],[0.52949053 0.33379095 0.85048085],[3.60937797 1.8441173  6.76167313],1.39
Polb,[0.54183227 1.90609161 6.04651158],[0.54183227 0.26067552 0.98030707],[3.17220408 1.38803464 8.71912719],1.34
Pold1,[0.87122077 1.0339495  9.62874241],[0.87122077 0.62479668 1.21917737],[ 9.31258483  5.6031305  15.32997349],4.4
Pold2,[ 1.25296588  4.97049523 22.68878271],[1.25296588 0.93798336 1.78480578],[4.56469258 2.66542762 7.129228  ],4.57
Pold3,[ 0.80552937  1.83315788 11.18108855],[0.80552937 0.58841831 1.13274599],[6.09935928 3.61631987 9.69671216],3.41
Pold4,[0.06708631 0.36333661 1.        ],[1.38777878e-17            nan            nan],[2.75226879        nan        nan],0.16
Poldip2,[1.30214286 1.93522819 5.95360198],[1.30214286 0.74784056 2.61512732],[3.0764341  0.9591288  7.44214504],2.39
Poldip3,[  1.04122194 163.27115121 402.26685695],[1.04122194 0.82840437 1.31942409],[2.46379629 1.899216   3.20517869],2.55
Pole,[  0.93952667 200.61626536 285.07842668],[0.93952667 0.72505595 1.30316764],[1.37838312 1.00435562 1.91528247],1.33
Pole2,[0.45263889 0.30216307 3.09700165],[0.45263889 0.08485537 1.01728554],[10.24943792         nan         nan],1.86
Pole4,[  1.48481832 243.92570781 983.10304241],[1.48481832 1.23740148 1.7933507 ],[4.03033797 3.27293337 4.97930013],5.95
Polg,[  0.50180126 138.12318288 245.51618706],[0.52689132 0.3802981  0.73149971],[1.67086517 1.15888714 2.49718781],0.89
Poli,[0.40459631 0.43289695 6.82213747],[0.40459631 0.24811231 0.60812267],[15.75926433  8.83335816 30.94451984],3.3
Polm,[0.12558691 1.78430797 3.60723269],[0.12558691 0.03498172 0.27448589],[2.02164242        nan        nan],0.24
Polq,[0.07867601 0.49031181 1.        ],[0.0039338       nan       nan],[2.03951851        nan        nan],0.14
Polr1a,[0.50935638 0.44009233 4.59476761],[0.50935638 0.25405617 0.88811006],[10.4404628   4.61448526 27.59298507],2.46
Polr1b,[0.51959069 1.31059474 5.91287214],[0.51959069 0.32473144 0.82093076],[4.51159459 2.3451205  8.63091607],1.68
Polr1c,[ 2.02763306  2.42723731 22.92765402],[2.02763306 1.49437107 2.85007871],[ 9.44598782  5.34095063 15.36065589],10.44
Polr1d,[ 0.79976487  1.31877083 16.86817787],[0.79976487 0.6235396  1.0278719 ],[12.79083333  8.92541109 18.14805537],6.37
Polr1e,[  0.43222818 101.35639989 181.98924252],[0.41061677 0.30679465 0.58086126],[1.84940389 1.28866284 2.7122258 ],0.77
Polr2b,[   1.85054137  969.89075017 1430.07317923],[1.85054137 1.43478797 2.42734315],[1.38600022        nan        nan],2.72
Polr2f,[  1.85056019 193.89974342 490.34739633],[1.85056019 1.49243022 2.24750815],[2.60473691 2.06053659 3.20715793],4.64
Polr2g,[ 1.65436066  7.54688592 37.77094002],[1.65436066 1.2361996  2.3489245 ],[5.00483781 3.03707048 7.90219883],6.79
Polr2h,[  1.52882579 196.6036746  241.30875349],[1.52882579 1.1630878  2.08432117],[1.22738679 0.89420567 1.65460036],1.86
Polr2i,[ 1.1765982   6.3326642  35.72373144],[1.1765982  0.90935067 1.60803008],[5.64118518 3.51027693 8.28414948],5.6
Polr2j,[0.94304747 1.06118588 8.30563666],[0.94304747 0.66664829 1.36593665],[ 7.8267501   4.42938469 13.15764136],3.91
Polr2k,[0.38758882 0.80004678 8.67945828],[0.38758882 0.26225078 0.55762781],[10.84868851  6.59680328 18.3450258 ],2.83
Polr3a,[0.79276823 1.33046088 6.06020394],[0.79276823 0.52921013 1.22449702],[4.55496589 2.37391684 8.2020668 ],2.26
Polr3b,[ 0.73471162  7.35392005 11.25131368],[0.7714472  0.43663785 1.19831543],[1.39227723 0.82813345 3.19690365],1.02
Polr3c,[0.22321897 0.7129964  5.33644627],[0.22321897 0.13295236 0.35304616],[ 7.48453465  4.17262049 14.10700186],1.27
Polr3d,[ 0.45053918 10.11517206 18.82058863],[0.45053918 0.27872332 0.66646665],[1.86062961 1.15757283 3.51796641],0.8
Polr3e,[0.45607527 3.26261418 9.53954904],[0.45607527 0.30951333 0.71034767],[2.92389737 1.59693976 4.8964364 ],1.17
Polr3g,[ 0.67365289  4.98916689 25.48957458],[0.67365289 0.51440473 0.9104803 ],[5.10898415 3.31877433 7.43885792],3.03
Polr3gl,[ 0.26955871 74.58909318 79.62621634],[0.26955871 0.16645127 0.4758189 ],[1.03550568 0.56923017 1.91740781],0.29
Polr3h,[0.6944953  3.88309906 6.36191348],[0.6944953  0.36493866 1.27980712],[1.63835982 0.76519244 4.03432233],0.97
Polr3k,[ 1.03920684  6.71324025 39.09783615],[1.03920684 0.81282896 1.37166394],[5.82398882 3.84347826 8.27877508],5.24
Polrmt,[0.56989664 2.63932849 3.62996174],[0.56989664 0.1456418  1.26650123],[1.37533534        nan        nan],0.64
Pom121,[0.17682489 1.73803441 5.76279844],[0.17682489 0.07704371 0.3661352 ],[3.3156987  1.374973   8.73601121],0.53
Pomc,[0.01392272 1.2710344  8.10796348],[0.01392272 0.00492523 0.03687987],[ 6.37902759  1.95988464 22.01727992],0.09
Pomgnt1,[0.38604947 1.11942586 5.4441525 ],[0.38604947 0.25634595 0.58078039],[4.8633435  2.80207861 8.29060678],1.4
Pomp,[ 2.38689403  6.6785121  50.7958312 ],[2.38689403 1.83174571 3.26134747],[ 7.60586047  4.49537299 11.48417378],13.37
Pon2,[0.01130444 0.13526424 1.19252152],[0.00056522        nan        nan],[9.08072352        nan        nan],0.09
Pon3,[0.11560105 1.69305022 1.8713839 ],[0.00578005        nan        nan],[1.10533278        nan        nan],0.12
Pop1,[0.1427635  0.85303124 9.38038145],[0.1427635  0.08143459 0.23793019],[10.99652752  5.69718253 21.76125147],1.34
Pop4,[0.30711007 0.2972428  7.28191554],[0.30711007 0.20318851 0.44372713],[24.49820677 14.91158373 42.09071398],3.7
Pop5,[ 0.88540135  2.96628008 11.78866752],[0.88540135 0.60211679 1.32049089],[3.97422603 2.14036619 7.13483777],2.71
Pop7,[0.87689161 1.07636612 7.60843678],[0.87689161 0.56960158 1.36687503],[ 7.06863274  3.50837041 13.7041792 ],3.42
Popdc3,[0.0673034  0.72909522 1.76413169],[0.00336517        nan        nan],[2.41961767        nan        nan],0.15
Pou2f1,[0.15113546 0.4870773  7.72766435],[0.15113546 0.09079743 0.23495106],[15.86537572  9.1242551  29.29893048],1.83
Pou6f1,[0.14167681 1.64474253 2.19449138],[0.00708384        nan        nan],[1.33424614        nan        nan],0.17
Ppa2,[ 1.16037413  7.92844189 12.35947801],[1.16037413 0.66812095 1.91200126],[1.55887855 0.83865928 3.63444713],1.58
Ppan,[ 1.92531584  7.24620513 58.05432657],[1.92531584 1.49191552 2.62007592],[ 8.01168688  4.81490684 11.98858106],12.19
Ppap2a,[  0.54134686 102.4028439  145.73416065],[0.54134686 0.40412028 0.77179051],[1.38045127 0.95399105 2.002892  ],0.77
Ppap2b,[0.30892336 1.84161143 7.25822014],[0.30892336 0.20206317 0.48901906],[3.94123321 2.13920844 6.76654928],1.04
Ppap2c,[0.01511718 0.17012557 2.37233646],[1.73472348e-18            nan            nan],[13.94462057         nan         nan],0.19
Ppargc1b,[0.17023374 1.79219704 3.01046528],[0.00851169        nan        nan],[1.67976244        nan        nan],0.26
Ppat,[0.92891358 0.949806   9.65631201],[0.92891358 0.65463235 1.33438264],[10.16661509  5.7337562  17.44122094],4.77
Ppcdc,[0.20883081 0.82208605 3.34808788],[0.20883081 0.08360926 0.39890647],[ 4.07267324  1.81436628 11.8455146 ],0.68
Ppcs,[ 0.47351205  2.2053396  14.09102345],[0.47351205 0.35764015 0.63650858],[6.38950276 4.20126699 9.38058652],2.49
Ppdpf,[4.0903486 0.0625461 1.       ],[0.20451743        nan        nan],[0.15988207        nan        nan],0.98
Ppfia1,[ 0.77108948 54.91084916 67.81488225],[0.77108948 0.55130599 1.13740242],[1.2349997  0.83095533 1.80702231],0.94
Ppfia4,[0.04741234 0.36834246 3.77936719],[0.04741234 0.01136669 0.09203661],[10.26047117         nan         nan],0.43
Ppfibp1,[ 0.73833999  2.42647131 10.05314613],[0.73833999 0.51782775 1.09723794],[4.14311354 2.28086694 6.87441127],2.35
Ppfibp2,[0.19099596 1.15348558 1.98974989],[8.32667268e-17            nan            nan],[1.72498895        nan        nan],0.28
Pphln1,[  0.94757127 103.84104384 127.88895656],[1.13708552 0.79287311 1.56283091],[1.04684631 0.71333703 1.47501408],1.16
Ppic,[ 0.79405776  5.03030408 16.23719819],[0.79405776 0.56604303 1.16342756],[3.22787607 1.9024912  5.27408513],2.21
Ppid,[  2.31770449 303.46595332 537.38631968],[2.31770449 1.8258531  2.92850514],[1.77082903 1.38196986 2.28048598],4.07
Ppie,[2.43973415 2.47754628 3.59294091],[0.12198671        nan        nan],[0.10151409        nan        nan],1.78
Ppig,[ 0.84772187  2.01844766 17.20445742],[0.84772187 0.63642121 1.12635744],[ 8.52360838  5.56650703 13.09319858],5.09
Ppil1,[ 1.58510792  3.3134991  33.10774251],[1.58510792 1.24285924 2.06429964],[ 9.99177653  6.52367286 14.41049602],10.71
Ppil2,[ 0.87211182  4.45561708 14.71817538],[0.87211182 0.60520555 1.33773865],[3.30328552 1.78457874 5.61542568],2.41
Ppil3,[0.27047777 1.18789194 5.88236036],[0.27047777 0.17904448 0.40494671],[4.95193222 2.93083526 8.29536566],1.09
Ppil4,[ 1.06855322  2.35235176 11.52231686],[1.06855322 0.75659612 1.58527673],[4.89821167 2.60789391 8.25675438],3.6
Ppl,[0.04108818 0.44055092 1.62271692],[1.38777878e-17            nan            nan],[3.68338108        nan        nan],0.14
Ppm1a,[  0.80673141  77.77299364 129.80493405],[0.88740455 0.63339978 1.15470305],[1.56888185 1.14045818 2.21771243],1.33
Ppm1d,[0.29353806 2.1574878  6.72793923],[0.29353806 0.15762808 0.49899471],[3.11841357 1.59549272 6.82615525],0.81
Ppm1g,[ 1.19996142  7.31536905 44.84878082],[1.19996142 0.92568072 1.60838764],[6.13076121 3.89924547 9.11303048],6.32
Ppm1m,[0.18022867 2.32350385 9.25271749],[0.18022867 0.1162552  0.29026616],[3.98222602 2.24237406 6.86463736],0.67
Ppox,[0.17230745 0.81813612 1.08213109],[0.00861537        nan        nan],[1.32267854        nan        nan],0.19
Ppp1ca,[  2.81887541 217.21760969 673.26932398],[2.81887541 2.34532148 3.4509793 ],[3.09951539 2.52548    3.79410224],8.63
Ppp1r11,[  1.17708288  93.18776418 310.25651856],[1.00052045 0.7970839  1.36444377],[3.3293697  2.6384973  4.22315327],3.87
Ppp1r12a,[  0.85822122  81.5846347  209.0351474 ],[0.85822122 0.6843208  1.09182883],[2.5621877  1.97161183 3.34605953],2.18
Ppp1r12b,[ 0.07265288  5.49488655 10.07602317],[0.07628552 0.04324265 0.14006407],[1.66867523 0.76517855 3.7791958 ],0.13
Ppp1r12c,[  0.81958384 136.2003617  381.74816469],[0.81958384 0.66151994 1.02271007],[2.80284252 2.17764043 3.62289219],2.28
Ppp1r13l,[0.18626347 0.48897556 1.6340194 ],[0.00931317        nan        nan],[3.34171998        nan        nan],0.45
Ppp1r15a,[ 1.03520673 51.23175863 82.54302359],[1.08696706 0.83528921 1.3986945 ],[1.61116904 1.13512626 2.16814028],1.63
Ppp1r2,[0.49458637 0.77267773 3.6467307 ],[0.49458637 0.23671351 0.90302562],[ 4.71960113  2.01893497 12.76290512],1.42
Ppp1r3b,[2.82162087e-01 2.82226329e+02 3.13786887e+02],[0.28216209 0.1701436  0.45714708],[1.07847231 0.63557174 1.87768386],0.31
Ppp1r7,[ 1.14003982 30.84536697 46.44676888],[1.19704181 0.37327266 1.62478209],[1.41544637 1.02157995 2.72999322],1.66
Ppp1r8,[0.52223518 0.96928123 7.68700603],[0.52223518 0.37736694 0.72766802],[ 7.93062509  4.94947035 12.41987768],2.69
Ppp2ca,[ 1.19525635  4.93448554 27.92165669],[1.19525635 0.91843536 1.61236452],[5.65847371 3.58418955 8.33363662],5.44
Ppp2cb,[0.31040265 1.10111724 6.28155579],[0.31040265 0.20178887 0.48235257],[5.70471116 3.17668773 9.85262605],1.38
Ppp2r1a,[ 1.17174654 29.39460695 49.9487072 ],[1.17174654 0.75806533 1.60561793],[1.69924732 1.17387271 3.29740238],1.91
Ppp2r1b,[0.88405647 3.10333306 6.14611472],[0.88405647 0.51519505 1.63604818],[1.98048827 0.82501595 4.36547392],1.36
Ppp2r2d,[  1.77432561 546.94548479 783.37525567],[1.77432561 1.36825409 2.34355395],[1.43227301 1.06798704 1.89714609],2.53
Ppp2r3a,[0.10543745 1.87153633 5.42061501],[0.10543745 0.02889533 0.21225157],[2.89634506        nan        nan],0.29
Ppp2r3c,[  0.42536515  50.42763029 132.35971116],[0.42536515 0.31727311 0.57559837],[2.62474581 1.84009796 3.79550127],1.11
Ppp2r4,[1.03153724 2.51192461 8.65767532],[1.03153724 0.64734361 1.72068445],[3.44663024 1.53241793 7.09453712],2.52
Ppp2r5a,[0.10108593 0.78169124 3.98419731],[0.0050543       nan       nan],[5.09689389        nan        nan],0.46
Ppp2r5b,[0.6840755  1.54769308 3.7199489 ],[0.6840755  0.29437774 1.48209402],[2.40354432 0.78941411 7.84846549],1.14
Ppp2r5c,[  2.5413036  316.1918726  693.39543635],[2.5413036  2.04216832 3.16121238],[2.19295781 1.74434077 2.77381715],5.53
Ppp2r5d,[1.02850558 5.21832502 9.5686328 ],[1.02850558 0.50089899 1.77922617],[1.8336598  0.88008989 5.53598802],1.58
Ppp2r5e,[ 0.15495836  0.27035821 12.19914245],[0.15495836 0.10350797 0.22276265],[45.12214528 28.55424723 73.89344788],4.44
Ppp3ca,[0.20418532 1.04742561 9.70904103],[0.20418532 0.13418964 0.30543218],[ 9.26943257  5.51828349 15.59648171],1.58
Ppp3cb,[0.21029577 0.96521532 7.0419762 ],[0.21029577 0.12612637 0.33139265],[ 7.29575676  4.04091377 13.74166878],1.26
Ppp3cc,[0.05696386 0.98916464 1.        ],[1.38777878e-17            nan            nan],[1.01095405        nan        nan],0.05
Ppp3r1,[0.83864349 0.60981317 1.45854676],[3.33066907e-16            nan            nan],[0.09567171        nan        nan],0.84
Ppp4r1l-ps,[0.01685086 0.10433826 1.        ],[0.00084254        nan        nan],[9.58421171        nan        nan],0.14
Ppp6c,[ 0.57592302 80.76258512 87.86820526],[0.60471917 0.38722172 0.93577898],[1.05534214 0.64537892 1.72207721],0.62
Ppp6r3,[ 3.40009358  9.39676296 17.49731132],[3.40009358 1.84400401 6.36076642],[0.68896121        nan        nan],4.65
Ppt1,[  0.59460169  80.53838447 121.44879507],[0.59460169 0.43703833 0.82533468],[1.50796165 1.04760286 2.16475653],0.89
Ppt2,[0.1030054  0.40255297 1.        ],[6.9388939e-17           nan           nan],[2.48414516        nan        nan],0.2
Pptc7,[0.52985538 3.11789175 4.35245055],[0.52985538 0.23220961 1.1099033 ],[1.39595948 0.55323147 4.13529052],0.63
Ppwd1,[  0.4400669   51.39018037 187.31086512],[0.4400669  0.34179821 0.5683201 ],[3.64487658 2.68021728 5.04212504],1.59
Pqlc3,[ 0.23082164 10.90494312 21.28036488],[0.23082164 0.13268648 0.35908761],[1.95144208 1.15736793 3.87814391],0.44
Pramef8,[0.24235853 0.98587497 1.99399016],[0.01211793        nan        nan],[2.02255888        nan        nan],0.39
Prc1,[ 0.56525473  1.8526963  16.30531476],[0.56525473 0.44066167 0.72946988],[ 8.80085677  6.13743676 12.38981537],3.81
Prdm1,[ 0.23885178  2.844262   11.39163234],[0.23885178 0.16299757 0.36620304],[3.88497381 2.29649454 6.47900469],0.88
Prdm16,[0.05913388 0.99184436 1.        ],[0.00295669        nan        nan],[1.0082227       nan       nan],0.06
Prdm2,[0.28353652 1.5554509  9.5955192 ],[0.28353652 0.19645427 0.41770658],[6.16896311 3.65883548 9.90552548],1.48
Prdm4,[0.87688994 3.07865771 3.53047541],[0.87688994 0.13678226 2.16017046],[1.14675802        nan        nan],0.78
Prdm5,[0.19091062 1.80881025 9.01834218],[0.19091062 0.12852036 0.29008355],[4.98578676 2.88769975 8.15671191],0.86
Prdm6,[0.02072758 0.44817619 1.        ],[1.04083409e-17            nan            nan],[2.23126532        nan        nan],0.04
Prdx1,[ 1.83888252  1.1354105  36.33702756],[1.83888252 1.41071312 2.39353819],[32.00342741 21.3991729  47.17511651],22.47
Prdx3,[ 0.97692424 23.16095482 40.63783944],[0.87923182 0.54849651 1.33864245],[2.12304657 1.21059776 4.23482563],1.64
Prdx6,[ 0.83593908  2.00475645 39.34570856],[0.83593908 0.68555364 1.02143373],[19.62617883 14.96335841 25.43772886],11.58
Prelid1,[  2.0038648  341.80737419 440.76594765],[2.10405804 1.59341428 2.75919062],[1.25083015 0.91844419 1.64535233],2.57
Prelid2,[ 0.20122363  1.12732265 15.9574947 ],[0.20122363 0.1545005  0.26097449],[14.15521518 10.10184033 19.78302816],2.42
Prep,[2.79905479 4.65935979 6.40746225],[2.79905479 1.26495189 7.52475808],[0.30253978        nan        nan],2.4
Prex1,[0.04512925 0.4658117  1.        ],[3.46944695e-17            nan            nan],[2.14679023        nan        nan],0.09
Prickle2,[0.06299205 1.23850475 3.18632593],[2.77555756e-17            nan            nan],[2.57271999        nan        nan],0.15
Prim1,[  1.50169717 305.33067201 357.61012587],[1.50169717 1.12633787 2.05676161],[1.17122241 0.84025164 1.60274639],1.75
Prkaa1,[0.28529048 0.71716266 1.77666424],[0.01426452        nan        nan],[2.47735187        nan        nan],0.51
Prkaa2,[ 0.28536313  8.58232119 20.96705459],[0.28536313 0.17866812 0.42226431],[2.44305173 1.49921301 4.44708455],0.67
Prkab1,[0.96584633 2.44363805 3.98608994],[0.96584633 0.3472054  2.26907792],[1.63121128        nan        nan],1.13
Prkab2,[1.25799509e-01 3.00478275e+02 3.95707795e+02],[0.12579951 0.08625081 0.17449281],[1.27741868 0.60441591 2.85126247],0.17
Prkag1,[0.64756858 0.76421441 5.56555808],[0.64756858 0.39355203 1.0842381 ],[ 7.28271803  3.31143117 15.00920238],2.55
Prkag2,[0.05025448 0.04825938 1.        ],[6.9388939e-18           nan           nan],[20.72135887         nan         nan],0.51
Prkar1a,[   3.17151536  785.1922883  1013.04705701],[3.17151536 2.45700447 4.17328037],[0.98054422        nan        nan],4.08
Prkcb,[0.00735569 0.15738429 1.93001816],[0.00036778        nan        nan],[12.26309295         nan         nan],0.09
Prkcsh,[1.31460075 1.4328132  7.90496616],[1.31460075 0.90155197 2.02937028],[5.51709474 2.74755179 9.92549478],3.78
Prkcz,[  0.57684291 156.23159427 346.92259636],[0.60568505 0.46482483 0.80283547],[2.08733222 1.50608616 2.82495305],1.28
Prkd3,[0.18186564 2.24531158 4.40407037],[0.18186564 0.06573778 0.36875622],[1.96145177 0.86440745 6.25094163],0.33
Prkdc,[0.79276509 1.53151099 6.23552709],[0.79276509 0.52787056 1.24437686],[4.071487  2.0652932 7.3274065],2.13
Prkra,[0.03833505 0.17663229 1.        ],[1.38777878e-17            nan            nan],[5.66147888        nan        nan],0.18
Prkrip1,[0.14411163 0.51089481 6.49091985],[0.14411163 0.09086649 0.21383898],[12.70500251  7.77901834 22.00052344],1.43
Prkrir,[0.07990273 0.28339376 1.60232893],[0.00399514        nan        nan],[5.65407266        nan        nan],0.35
Prmt1,[  3.37906291 137.59176629 601.04020857],[2.87220347 2.1817599  3.5784531 ],[4.36828616 3.61224087 5.30170775],14.41
Prmt3,[ 1.02374958  3.88888296 10.50764684],[1.02374958 0.67252659 1.68944697],[2.70197045 1.3364702  5.07747339],2.19
Prmt5,[ 1.24444356  1.2396     14.97003492],[1.24444356 0.94593167 1.66366537],[12.07650442  7.65990929 18.25220165],7.5
Prmt7,[  1.74124461 276.46049724 396.51284637],[1.65418238 1.32034692 2.19335397],[1.47727518 1.1225658  1.94939237],2.48
Prnp,[0.14540931 0.5068024  1.33128702],[0.00727047        nan        nan],[2.62683645        nan        nan],0.3
