Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Dnajc2,[ 0.86132838  1.52235581 14.06590719],[0.86132838 0.66462999 1.13008489],[ 9.23956612  6.17043401 13.39841004],5.08
Dnajc21,[ 0.6652854  22.85593636 77.98054327],[0.6652854  0.48471792 0.85511533],[3.41182886 2.5086447  4.43092364],2.21
Dnajc24,[ 0.25309998  5.53764297 16.06378258],[0.25309998 0.16313618 0.38316172],[2.90083392 1.71276563 5.0826892 ],0.7
Dnajc28,[0.00355587 0.15758659 1.9318828 ],[0.00017779        nan        nan],[12.25918245         nan         nan],0.04
Dnajc3,[0.07672408 0.37957428 2.4813462 ],[0.0038362       nan       nan],[6.5371822       nan       nan],0.42
Dnajc4,[0.1367859  0.38359385 4.26972124],[0.1367859  0.05375122 0.25650857],[11.13083871  5.17573822 32.06194302],1.12
Dnajc5,[  1.01829121 418.39905894 476.29987053],[1.01829121 0.74441033 1.42577205],[1.13838657 0.79417855 1.62244853],1.16
Dnajc7,[ 1.92409119  3.04549767 24.75607426],[1.92409119 1.41622423 2.71342282],[ 8.12874511  4.52699084 13.31139344],9.58
Dnajc8,[ 1.45068618  1.08792721 22.82917721],[1.45068618 1.09498542 1.93822779],[20.98410344 13.2094421  32.1861835 ],13.05
Dnajc9,[0.61723443 0.67130375 6.26044558],[0.61723443 0.40386771 0.92344175],[ 9.32580164  5.16753279 17.21128009],3.0
Dnase2a,[0.0189758  0.01461791 1.        ],[3.46944695e-18            nan            nan],[68.40923402         nan         nan],0.56
Dnd1,[0.18148794 1.40802342 2.82729836],[2.77555756e-17            nan            nan],[2.00799101        nan        nan],0.32
Dnlz,[0.14394162 0.19325574 4.96322109],[0.14394162 0.07385287 0.2335589 ],[25.68214124 14.21912338 55.78389257],2.12
Dnm1l,[0.45769821 0.28784174 6.19585011],[0.45769821 0.30065918 0.67675227],[21.52519684 12.3847226  38.47125387],3.8
Dnm2,[ 1.01358858  9.7796487  24.54654413],[1.01358858 0.70078338 1.44773127],[2.50996175 1.58303658 4.35158652],2.31
