Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Gabra3,[1.31754323e-02 1.85737623e+01 1.32348704e+02],[0.01317543 0.00505187 0.0257728 ],[7.33934043        nan        nan],0.09
Gdi1,[ 1.01521234  2.92463292 41.83500991],[1.01521234 0.8273095  1.25549305],[14.30436264 10.47847825 19.01143805],10.78
Gla,[ 0.50017444  1.94196793 16.10729452],[0.50017444 0.38933878 0.64705291],[ 8.29431539  5.76676388 11.67948368],3.3
Gnl3l,[  2.15899281 382.36253509 785.4205227 ],[2.15899281 1.79152092 2.66763607],[2.05412521 1.63894154 2.52321907],4.41
Gpc4,[1.09913762e+00 2.14182728e+02 1.32497592e+03],[1.1540945  1.00406995 1.36867014],[5.62943661 4.72636956 6.74818178],6.76
Gpr64,[0.16927795 2.8209732  5.82869998],[0.16927795 0.05445825 0.31255484],[2.06620183 1.03164286 7.44422655],0.33
Gria3,[ 0.16282149 14.72601353 61.82912398],[0.16282149 0.11112387 0.24218116],[4.19863284 2.6168228  7.15786029],0.68
Gripap1,[ 0.50834     3.32253727 12.28908598],[0.50834    0.35914514 0.73059363],[3.69870523 2.20464722 5.97642737],1.63
Gspt2,[0.16270468 2.681531   3.7133423 ],[0.00813523        nan        nan],[1.3847844       nan       nan],0.21
Gyk,[0.2138387  5.05073585 6.04303332],[0.2138387  0.06195992 0.41274074],[1.19646592        nan        nan],0.25
Haus7,[ 0.40696528  1.880555   19.62342747],[0.40696528 0.31975843 0.51478526],[10.43491279  7.55515844 14.50560504],3.49
Hccs,[  1.09388786 340.73995061 601.96764546],[1.14858225 0.89207166 1.42822071],[1.71364883 1.30281541 2.19114267],1.93
Hcfc1,[  0.73681355  18.15576998 102.32640481],[0.73681355 0.57819947 0.90975155],[5.63602673 4.38021669 7.09286131],3.99
Hdac6,[  0.51844548 108.86248886 197.87186714],[0.51844548 0.39801172 0.6835458 ],[1.8176313  1.33356865 2.51119173],0.94
Heph,[0.16040907 1.3223155  9.46256422],[0.16040907 0.11389335 0.22394392],[ 7.15605634  4.66842497 10.92963642],1.02
Hmgn5,[ 0.19040798  4.4214969  19.66281091],[0.19040798 0.13076113 0.26956069],[4.44709368 2.86090857 7.19483125],0.81
Hprt,[  2.08358313 214.77737361 981.81691118],[2.08358313 1.77770299 2.46540204],[4.57132376 3.84796604 5.44714443],9.43
Hsd17b10,[ 1.35345692  9.78999434 41.42128665],[1.35345692 1.03934877 1.80142712],[4.23098167 2.81665197 6.38050441],5.03
Htatsf1,[0.52352726 0.74335495 9.73025738],[0.52352726 0.37952901 0.71422956],[13.08965163  8.39486735 20.59069924],4.02
Huwe1,[  2.45766072  48.31133948 140.74815612],[2.45766072 1.80260624 3.13117233],[2.91335653 2.19989538 3.59978189],6.81
Idh3g,[  2.15215746  42.63563715 206.21147356],[2.15215746 1.67438954 2.65387755],[4.83659885 3.80676074 5.77913167],9.91
Ids,[0.33959254 3.58981461 9.98610752],[0.33959254 0.22472231 0.52413084],[2.7817892  1.62973809 4.73528815],0.86
Igbp1,[ 0.77190114 23.51427117 81.98313319],[0.69471103 0.51746461 0.9830495 ],[4.63708045 2.53822053 6.35082114],2.61
Ikbkg,[  1.5229055 126.6324915 194.7213286],[1.5229055  1.14870957 1.9155786 ],[1.53768852 1.13351762 1.93163599],2.31
Il13ra1,[ 0.51595352 11.01241529 38.25687339],[0.51595352 0.36374773 0.71633642],[3.47397663 2.34801996 5.575483  ],1.71
Il2rg,[ 0.03836966  1.75995269 11.03120797],[0.03836966 0.02137246 0.06703401],[ 6.26790029  3.18745285 12.69059368],0.24
Iqsec2,[0.10477523 0.94299993 1.68489139],[1.38777878e-17            nan            nan],[1.78673543        nan        nan],0.17
Irak1,[  1.26269234 109.03547149 355.6328811 ],[1.26269234 1.0477981  1.55384023],[3.26162556 2.6084247  4.07890814],4.07
Itm2a,[ 0.11523277  7.02302691 20.47842757],[0.11523277 0.06855284 0.1751662 ],[2.91589764 1.73057397 5.50372398],0.33
Kctd12b,[1.21197802e-02 3.56321846e+01 7.28700666e+01],[0.01151379 0.00368601 0.03668019],[2.47452638        nan        nan],0.02
Kdm5c,[ 0.99072814 13.8548259  29.06847619],[0.99072814 0.68452834 1.3608229 ],[2.09807589 1.44472658 3.66169155],1.94
Kdm6a,[ 0.24108431 25.29002126 29.47021737],[0.25313853 0.15843516 0.40148333],[1.13033163 0.65021519 1.91117022],0.28
Kif4,[ 0.09593339  2.51425921 20.0923005 ],[0.09593339 0.06877817 0.13523155],[ 7.99134011  5.1446541  12.45432876],0.74
Klhl13,[0.23182627 0.66487223 4.99131323],[0.23182627 0.12871739 0.36715362],[ 7.50717657  4.14178808 15.48532726],1.29
L1cam,[0.07810491 4.04242248 4.99339724],[2.77555756e-17            nan            nan],[1.23524873        nan        nan],0.09
Lage3,[  1.90810635  34.60938861 151.18263953],[1.81270103 1.37481127 2.36543612],[4.36825514 3.40531411 5.31419936],7.9
Lamp2,[   2.87486223  300.90811059 1955.54780535],[2.87486223 2.46569755 3.35780025],[6.49882053 5.52533386 7.66267142],18.51
Lancl3,[1.82563593e-02 3.39555539e+01 5.97712578e+01],[0.01825636 0.00805217 0.0600318 ],[1.76027927        nan        nan],0.03
Las1l,[ 0.68359545  1.90210939 17.01397499],[0.68359545 0.52392649 0.90479705],[ 8.94479313  5.83058167 13.20318181],4.5
Lpar4,[1.39357903e-01 8.08555203e+01 1.76796084e+02],[0.15329369 0.11128153 0.23665311],[1.8585827  1.12122599 3.22551653],0.3
Lrch2,[ 0.07099023 29.16885605 30.66675222],[1.38777878e-17            nan            nan],[1.05135259 0.3825567  2.97286705],0.07
Maged1,[  1.84496882  15.90754493 170.93809225],[1.75272038 1.44221046 2.16766982],[12.03521122  8.58827322 16.27346138],17.77
Maged2,[   1.82748852  278.98058872 1767.00484158],[1.82748852 1.56701892 2.15178186],[6.33379136 5.31821906 7.50671108],11.5
Magee1,[   1.38556364  730.17197374 1382.1612365 ],[1.38556364 1.10176037 1.71672638],[1.89292562 1.50417345 2.44581593],2.62
Mageh1,[  0.5119225   85.09942969 137.47775173],[0.5119225  0.3867564  0.68976265],[1.61549557 1.15458645 2.25218032],0.82
Magt1,[  1.7034305  184.67686741 655.02087012],[1.7034305  1.43218375 2.03590465],[3.5468485  2.9243509  4.31453105],5.99
Maoa,[  0.78466597  13.50935468 117.09255498],[0.82389926 0.68128005 0.9769326 ],[ 8.14746554  6.74826283 10.59427613],6.43
Mbtps2,[ 0.57664383  8.13610966 18.46161813],[0.57664383 0.37925308 0.84475949],[2.26909652 1.40142101 4.03591125],1.22
Mecp2,[0.21991833 0.49936444 4.32609503],[0.21991833 0.1249626  0.34659577],[ 8.66320209  4.88343046 17.18938162],1.32
Med12,[ 0.56002756  5.10410779 16.71972795],[0.56002756 0.38747368 0.81406203],[3.27573959 2.00876163 5.46450742],1.65
Med14,[0.52855994 2.51982652 7.92910664],[0.52855994 0.33202453 0.84081703],[3.14668751 1.62212255 5.99101536],1.37
Mid1,[  1.49096516 195.33231798 216.74740963],[1.56551342 1.21020144 2.08547268],[1.0430561  0.77628367 1.36608849],1.64
Mmgt1,[  1.37731731 155.12691791 375.71778307],[1.37731731 1.14053801 1.71326483],[2.4220025  1.91074453 3.00852147],3.31
Morc4,[  0.55969274 176.08476034 281.00455746],[0.55969274 0.42399022 0.74050587],[1.6437237  1.17837476 2.24608558],0.89
