Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Mxra7,[0.12516844 1.51335263 2.50055959],[0.00625842        nan        nan],[1.65233109        nan        nan],0.19
Myadm,[  1.31253782  98.98136766 126.53783389],[1.37816471 1.00402985 1.79524619],[1.27840054 0.9316692  1.72751605],1.66
Mybbp1a,[ 1.35524372  4.50534164 37.912471  ],[1.35524372 1.06280984 1.79461496],[ 8.41500469  5.34127308 12.06582975],8.77
Mybl2,[ 2.96189716 23.6513699  36.32440012],[2.96189716 1.76109175 4.39886325],[1.53582648 0.92949381 3.77926324],4.04
Myc,[0.18311521 2.31171377 6.397019  ],[0.18311521 0.09757218 0.32991546],[2.76721932 1.34430514 5.83534618],0.47
Mycbp2,[0.14044518 0.24679755 5.07391955],[0.10533389 0.05375853 0.17689702],[28.5770586  15.64316983 61.31805791],1.84
Mycbpap,[5.64313183e-03 7.52484875e+00 4.14533835e+01],[3.46944695e-18            nan            nan],[5.67413199        nan        nan],0.03
Mycn,[ 0.25431028  1.7040392  19.7781998 ],[0.25431028 0.19546811 0.33182189],[11.60665773  8.05840242 16.48439688],2.57
Myd88,[ 0.08770681 22.90136195 34.40053594],[1.38777878e-17            nan            nan],[1.50211747 0.69020367 3.50055431],0.13
Myef2,[  0.3552698  104.80524005 228.78889333],[0.3552698  0.26216741 0.50733504],[2.24848071 1.46569122 3.48010381],0.77
Myh10,[  0.4016597   70.3249998  159.24721574],[0.50207463 0.34017575 0.57695013],[1.99271312 1.3877281  2.80494367],0.9
Myh9,[ 0.90816409  4.18202169 13.94142326],[0.90816409 0.61715365 1.38915696],[3.33365637 1.8562409  5.98321078],2.49
Myl12b,[1.13528306e+00 2.87281048e+02 1.72274320e+03],[1.13528306 0.97491693 1.35827055],[5.81681569 4.80461755 7.15782385],6.78
Mylk,[0.01489101 1.27107863 8.10692438],[0.01489101 0.0052911  0.04029234],[ 6.37798809  1.87535305 22.01162885],0.09
Mylpf,[  1.71448401 186.3887237  902.69302987],[1.71448401 1.43508396 2.03207603],[4.84306675 4.01064333 5.92173875],8.23
Mynn,[0.70160638 4.32727302 6.02526673],[0.70160638 0.32466315 1.30551897],[1.39239348 0.64274692 4.091354  ],0.84
Myo10,[  2.97981195 454.5307447  582.3266146 ],[2.97981195 2.34818825 3.98626724],[1.24272521 0.94703533 1.64579227],3.79
Myo18a,[0.23782724 0.46736725 3.20668715],[0.23782724 0.09771134 0.42315581],[ 6.8611721   3.3041945  19.82822643],1.08
Myo19,[ 0.39867488 22.40467213 30.04127397],[0.41860862 0.27310106 0.63825464],[1.34084863 0.77979479 2.64914533],0.53
Myo1b,[1.22254275 4.97592535 7.71908087],[1.22254275 0.63629288 2.30016499],[1.55128551 0.66431472 4.27226336],1.52
Myo1c,[0.87453669 7.01551557 8.72340713],[0.87453669 0.45621125 1.51913882],[1.24344491 0.62265394 3.18280505],0.97
Myo1e,[0.32554259 0.32052214 1.83156406],[0.01627713        nan        nan],[13.6000666        nan        nan],0.92
Myo1g,[0.10158559 1.40134313 2.8359125 ],[0.00507928        nan        nan],[2.02371028        nan        nan],0.19
Myo5a,[0.4880067  2.06419476 3.18466879],[0.4880067  0.12393164 1.11107584],[1.54281411        nan        nan],0.61
Myo7a,[ 0.26282648 23.42071315 30.04357112],[0.27596781 0.16678517 0.44012417],[1.28277781 0.73675205 2.22357587],0.33
Myo9a,[ 0.57739162 43.81653338 65.51288145],[0.57739162 0.41557409 0.8352238 ],[1.4951635  0.98029145 2.20462616],0.85
Mysm1,[ 1.15000144 49.95006938 68.19866405],[1.15000144 0.68435192 1.62131277],[1.36533672 0.93097719 1.89958262],1.53
Mzt2,[0.2171733  0.25935209 3.37885491],[0.2171733  0.04670369 0.45990226],[13.02806138         nan         nan],1.54
N4bp1,[  1.55044278  85.84564409 110.31495632],[1.55044278 0.97814569 2.13711818],[1.28503848 0.90710895 1.73044035],1.96
N4bp2l2,[  1.73743913 104.15986504 106.28604758],[1.73743913 1.00606601 2.43903283],[1.02041269 0.70579014 1.4219749 ],1.74
N4bp3,[0.33181507 0.50561043 4.25496639],[0.33181507 0.17436805 0.55170612],[ 8.41550352  4.24139353 19.24629856],1.69
N6amt1,[ 0.54558031 13.51253741 44.87709432],[0.54558031 0.39321914 0.72299836],[3.32114487 2.36690247 5.23901566],1.74
N6amt2,[ 0.51166661  3.14976515 14.16802443],[0.51166661 0.35747196 0.71439729],[4.4981209  2.84146638 7.49961258],1.98
Naa10,[ 1.72620778  4.30983427 18.88542748],[1.72620778 1.19075808 2.69415663],[4.38193822 2.07929002 7.98379174],5.4
Naa11,[1.38753105e-02 3.65766091e-01 3.74308145e+01],[0.01387531 0.005966   0.02835609],[102.33538706  35.98295971 295.15999632],1.37
Naa15,[   1.75232753  553.90373393 1262.41700306],[1.66471115 1.37637931 2.14983224],[2.3475009  1.85435274 2.98470454],3.98
Naa16,[0.71062288 1.47034905 6.0823897 ],[0.71062288 0.47183974 1.10961457],[4.1366978  2.14182332 7.3981908 ],1.98
Naa20,[ 1.04311713  2.33610938 13.92646084],[1.04311713 0.77576508 1.45237655],[5.96139076 3.5606046  9.22558413],4.3
Naa25,[ 1.04608091  2.6682535  12.13988546],[1.04608091 0.75505712 1.53088749],[4.54974966 2.47572973 7.39424559],3.42
Naa30,[0.17022142 0.51407118 4.36689924],[0.17022142 0.05943491 0.34660269],[ 8.49473662  3.49802381 28.512145  ],1.09
Naa35,[  3.03004359 285.51473554 550.61472203],[3.03004359 2.40871749 3.8651094 ],[1.92849844 1.50698986 2.4587129 ],5.78
Naa38,[ 0.26841758  0.82684311 17.6259814 ],[0.26841758 0.21092564 0.33908816],[21.31720184 15.76949304 28.95900018],4.32
Naa40,[  1.11574424 117.37155864 168.91298957],[1.11574424 0.83609032 1.53370897],[1.4391305  1.02863912 1.99021157],1.59
Naa50,[ 0.77359547  0.93468259 10.33847464],[0.77359547 0.57711988 1.04175174],[11.06094707  7.11296098 16.96703286],4.68
Naca,[5.66500295e-02 3.98541722e-01 8.95396046e+01],[0.05665003 0.03266646 0.09191209],[224.66808288 117.01371791 455.26358981],11.14
Nacc1,[0.38235299 1.02854087 4.68926838],[0.38235299 0.2202939  0.64342871],[4.55914636 2.25128695 9.32471836],1.27
Nadk,[  1.41079014 593.09606663 732.84951894],[1.48132965 1.11728496 1.99109289],[1.16149573 0.85291739 1.59910898],1.74
Nae1,[  2.76555323 345.72080855 647.51698445],[2.76555323 2.2188974  3.48466815],[1.87294767 1.47261446 2.36906542],5.14
Naf1,[0.64407356 1.49301738 3.52119485],[0.64407356 0.22591884 1.52828483],[2.35844197        nan        nan],1.06
Nagk,[ 0.13977462  3.41196074 17.38263439],[0.13977462 0.08928533 0.2178566 ],[5.09461736 2.88152895 9.12503735],0.68
Nagpa,[0.33834684 5.33341947 8.2009813 ],[0.33834684 0.15416082 0.58437127],[1.53765916 0.80135726 4.09782911],0.49
Nampt,[ 1.47699477  7.39010053 16.31621615],[1.47699477 0.93613631 2.38379444],[2.20784766 1.16430437 4.54174201],2.72
Nanos1,[0.15467405 1.28854104 4.08369581],[0.15467405 0.06369539 0.29614242],[3.16924    1.42706114 8.67295935],0.44
Nans,[  1.5200692   97.88032125 145.39533529],[1.5200692 0.9851747 2.0244546],[1.48543991 1.07757542 1.96983385],2.22
Nap1l3,[ 0.02851008 16.34902081 18.2298524 ],[0.0014255       nan       nan],[1.14849374        nan        nan],0.03
Nap1l4,[  2.99685942  72.56750683 127.69027532],[2.5473305  1.63545887 3.91683174],[1.75960676 1.28444767 2.27169029],5.06
Napepld,[ 0.86395534  3.93120008 10.08969774],[0.86395534 0.58371031 1.38922859],[2.56656937 1.32563819 4.52820175],1.82
